"Provincia","Nombre","Dirección","Gasolina 95","Gasolina 98","Gasoleo A"
"Burgos","REPSOL","AUTOVIA A-62 KM. 16,7, FRANDOVINEZ","1,359€","1,489€","1,289€"
"Burgos","REPSOL","CARRETERA NACIONAL 120 KM. 108,3, VILLAYUDA O LA VENTILLA","1,339€","1,439€","1,269€"
"Burgos","REPSOL","CR C-629, 60, BERCEDO","1,339€","1,469€","1,279€"
"Burgos","REPSOL","CALLE VITORIA, 290, VILLAFRIA","1,319€","1,459€","1,249€"
"Burgos","REPSOL","CL GENERAL SANZ PASTOR, S.N., BURGOS","1,335€","€","1,279€"
"Burgos","REPSOL","CARRETERA N-627, BURGOS-AGUILAR DE CAMPOO KM. 51,550, BASCONCILLOS DEL TOZO","1,358€","1,488€","1,298€"
"Burgos","REPSOL","CARRETERA NACIONAL A-1 KM. 232,8, VILLAGONZALO PEDERNALES","1,359€","1,489€","1,299€"
"Burgos","REPSOL","CARRETERA NACIONAL 120 KM. 66,9, BELORADO","1,309€","€","1,239€"
"Burgos","REPSOL","CARRETERA CARRETERA NACIONAL 120 KM. 119, VILLALBILLA DE BURGOS","1,359€","1,479€","1,305€"
"Burgos","REPSOL","AU AP-1 (IZDA), 12, QUINTANAPALLA","1,359€","1,499€","1,289€"
"Burgos","REPSOL","CALLE SAN FRANCISCO, 39, ARANDA DE DUERO","1,319€","1,459€","1,259€"
"Burgos","REPSOL","CR N-120, 68, BELORADO","1,319€","1,479€","1,248€"
"Burgos","REPSOL","CR BU-619, 26,1, OLMEDILLO DE ROA","1,309€","1,449€","1,239€"
"Burgos","REPSOL","CL GLORIETA LOGRO¿O, S.N., BURGOS","1,359€","1,489€","1,299€"
"Burgos","REPSOL","CARRETERA CRTA A-1, MADRID-BURGOS KM. 203, VILLALMANZO","1,373€","1,499€","1,299€"
"Burgos","REPSOL","CL AVENIDA PALENCIA, S.N., BURGOS","1,359€","1,489€","1,299€"
"Burgos","REPSOL","CARRETERA N-234 KM. 437, SALAS DE LOS INFANTES","1,329€","1,429€","1,269€"
"Burgos","REPSOL","CARRETERA BU-101, KM. 7,5, SANTA MARIA DEL CAMPO","1,309€","1,449€","1,239€"
"Burgos","REPSOL","CR N-120, 162, MELGAR DE FERNAMENTAL","1,309€","1,449€","1,259€"
"Burgos","REPSOL","CARRETERA LOGROÑO/VIGO KM. 145, OLMILLOS DE SASAMON","1,326€","1,429€","1,289€"
"Burgos","REPSOL","AU AP-1 (DCHA), 12, QUINTANAPALLA","1,359€","1,499€","1,289€"
"Burgos","REPSOL","CR N-122, 257, VADOCONDES","1,309€","1,449€","1,269€"
"Burgos","REPSOL","CR A-1, 187,7, FONTIOSO","1,359€","1,459€","1,289€"
"Burgos","REPSOL","CR C-6318, 34, SANTA CRUZ DE MENA","1,309€","€","1,259€"
"Burgos","REPSOL","CARRETERA BU-111 CTRA. LERMA-S.MARIN RUBIALES KM. 28,500, ROA","1,309€","1,449€","1,239€"
"Burgos","REPSOL","CR A-62, 5,7, VILLAGONZALO PEDERNALES","1,359€","1,499€","1,289€"
"Burgos","PINAROIL S.L.","CARRETERA BURGOS-SAGUNTO KM. S/N, REVILLA (LA)","1,309€","€","1,209€"
"Burgos","PETRONOR","CARRETERA BU-910 KM. 24, CALERUEGA","1,319€","1,459€","1,249€"
"Burgos","PETRONOR","CARRETERA C-6318 KM. 43,4, ENTRAMBASAGUAS","1,309€","€","1,259€"
"Burgos","PETRONOR","AUTOVIA A-1 KM. 171, GUMIEL DE IZAN","1,359€","1,459€","1,289€"
"Burgos","PETRONOR","CARRETERA BU-P-4013 KM. 1, CASTROJERIZ","1,379€","€","1,299€"
"Burgos","ODARPI","CALLE CONDADO DE TREVIÑO, 2, BURGOS","1,300€","€","1,220€"
"Burgos","ODARPI","CALLE FERNAN GONZALEZ, 1, MELGAR DE FERNAMENTAL","€","€","1,220€"
"Burgos","ODARPI","CARRETERA A BARRIO DE SAN FELICES EN SOTRESGUDO KM. 1, SOTRESGUDO","1,300€","€","1,220€"
"Burgos","ODARPI","CAMINO HERAS, S/N, CASTROJERIZ","€","€","1,220€"
"Burgos","NORPETROL","CALLE BURGOS, 11, BRIVIESCA","1,275€","€","1,199€"
"Burgos","NORPETROL","CARRETERA ALBILLOS KM. 0,2, ARCOS","1,273€","€","1,179€"
"Burgos","NORPETROL","CARRETERA BELORADO KM. BU-710 KM 0,5, BRIVIESCA","1,237€","€","1,149€"
"Burgos","NORPETROL","CARRETERA BELORADO BU-710 km 1, BRIVIESCA","€","€","1,199€"
"Burgos","NO TIENE","AVENIDA PORTUGAL, 13, ARANDA DE DUERO","€","€","1,215€"
"Burgos","LAS TERRAZAS","CARRETERA BURGOS-QUINTANADUEÑAS KM. 3, BURGOS","1,289€","1,438€","1,190€"
"Burgos","GASOLEOS ARANDA","AVENIDA PORTUGAL, 21, ARANDA DE DUERO","1,319€","€","1,249€"
"Burgos","GALP","CTRA. DE LOGRO?O, 70, MIRANDA DE EBRO","1,329€","1,449€","1,279€"
"Burgos","GALP","AUTOVIA A-62 KM. 40, BALBASES (LOS)","1,339€","1,429€","1,269€"
"Burgos","GALP","CTRA. DE SORIA, S/N (CRTA. DE SORIA, S/N), QUINTANAR DE LA SIERRA","1,339€","1,439€","1,279€"
"Burgos","GALP","CARRETERA N-I KM. 228,4, SARRACIN","1,369€","1,499€","1,309€"
"Burgos","GALP","CARRETERA BU-550 KM. 27, QUINCOCES DE YUSO","1,334€","€","1,264€"
"Burgos","GALP","CARRETERA N-I KM. 228,3, SARRACIN","1,369€","1,499€","1,309€"
"Burgos","GALP","N-623 km 241,8, VILLATORO","1,339€","1,454€","1,259€"
"Burgos","GALP","AUTOVIA A-2 KM. 176,6, OQUILLAS","1,369€","1,499€","1,309€"
"Burgos","FUNDACION AIDA CEPSA","AVENIDA ISLAS BALEARES, S/N, BURGOS","1,339€","1,454€","1,279€"
"Burgos","ES HERMANOS OLALLA","POLIGONO POLIGONO INDUSTRIAL LAS ERAS ALTO DE LA PALOMERA, 5, PALACIOS DE LA SIERRA","1,269€","€","1,189€"
"Burgos","E.S.SAIZ","LOGROÑO-VIGO km 134,5, VILLANUEVA DE ARGAÑO","1,309€","1,400€","1,235€"
"Burgos","E.S.FERREIRA","CR N-625, 337, BERBERANA","1,306€","1,406€","1,246€"
"Burgos","E.S. RIVERA","CALLE CALLE SAN ROQUE (CARRETERA BURGOS-VILLARCAYO), 13, VILLARCAYO","1,209€","€","1,149€"
"Burgos","E.S. LAS BRUJAS","CARRETERA CL-629 KM. 35, CERNEGULA","1,259€","€","1,179€"
"Burgos","E.S. BASURTO, S.L.","CTRA. N-629 OÑA-SANTOÑA, KM. 7,7, TRESPADERNE","1,269€","1,395€","1,185€"
"Burgos","E.S. ANGULO OÑA","CTRA. LOGROÑO SANTANDER km 508, OÑA","1,089€","€","0,889€"
"Burgos","E.LECLERC","CARRETERA DE BILBAO (C.C. LECLERC) km S/N, MIRANDA DE EBRO","1,270€","€","1,190€"
"Burgos","DGV","AVENIDA PORTUGAL, 53, ARANDA DE DUERO","€","€","1,115€"
"Burgos","CORIDU","CARRETERA SAN MARTIN DE RUBIALES KM. 1, ROA","€","€","1,249€"
"Burgos","COOP. ARLANZA","CARRETERA MADRID-IRUN EN VILLALMANZO KM. 203,8, VILLALMANZO","€","€","1,219€"
"Burgos","CEPSA","AUTOPISTA AP-1 (MRG.IZDO.) KM. 63,5, AMEYUGO","1,359€","1,474€","1,299€"
"Burgos","CEPSA","C-627 km 39,5, VILLADIEGO","1,334€","1,449€","1,279€"
"Burgos","CEPSA","AUTOPISTA AP-1 (MRG.DCHO.) KM. 35,5, BRIVIESCA","1,359€","1,474€","1,299€"
"Burgos","CEPSA","AUTOVIA A-1 KM. 146,7, PARDILLA","1,369€","1,459€","1,289€"
"Burgos","CEPSA","CARRETERA N-122 KM. 278,160, CASTRILLO DE LA VEGA","1,329€","1,444€","1,249€"
"Burgos","CEPSA","AUTOPISTA AP-1 (MRG.IZDO.) KM. 35,5, BRIVIESCA","1,359€","1,474€","1,299€"
"Burgos","CEPSA","AUTOVIA A-1 KM. 214,1, MADRIGALEJO DEL MONTE","1,359€","1,474€","1,279€"
"Burgos","CEPSA","PASEO LAS FUENTECILLAS, S/N, BURGOS","1,339€","1,454€","1,279€"
"Burgos","CEPSA","AUTOVIA A-I KM. 235, BURGOS","1,339€","1,454€","1,279€"
"Burgos","CEPSA","CARRETERA N-620A KM. 32,3, VILLANUEVA DE LAS CARRETAS","1,359€","1,475€","1,295€"
"Burgos","CEPSA","A-1 km 152,8, FUENTESPINA","1,359€","1,474€","1,279€"
"Burgos","CEPSA","CARRETERA NACIONAL 627 KM. 66,150, FUENCALIENTE DE LUCIO","1,349€","1,419€","1,309€"
"Burgos","CEPSA","AUTOPISTA AP-1 (MRG.DCHO.) KM. 63,5, AMEYUGO","1,359€","1,474€","1,299€"
"Burgos","CEPSA","N-I km 259,5, MONASTERIO DE RODILLA","1,359€","1,474€","1,279€"
"Burgos","CEPSA","AVENIDA LUIS MATEOS, 84, ARANDA DE DUERO","1,286€","1,402€","1,250€"
"Burgos","CEPSA","AUTOVIA A-1 KM. 149,3, MILAGROS","1,369€","1,459€","1,289€"
"Burgos","CARREFOUR","CARRETERA SANTANDER N-623 (CARREFOUR) KM. 2, BURGOS","1,349€","1,469€","1,279€"
"Burgos","CARCEDOIL","CALLE CALZADA, 1, CARCEDO DE BURGOS","1,275€","€","1,195€"
"Burgos","BV-CARBURANTES "" % DTO ""","CALLE F, 14, LERMA","1,339€","€","1,219€"
"Burgos","BP LERMA","CARRETERA CTRA. LERMA/VILLALMANZO S/N KM. S/N, LERMA","1,379€","1,499€","1,299€"
"Burgos","BP","CARRETERA N-I KM. 278,050, BRIVIESCA","1,339€","1,519€","1,249€"
"Burgos","BP","AUTOVIA A-1 KM. 189,9, CILLERUELO DE ABAJO","1,369€","1,511€","1,299€"
"Burgos","BP","CARRETERA N I KM. 278,050, BRIVIESCA","1,359€","1,539€","1,284€"
"Burgos","BEROIL, S.L.","N-I km 249, RUBENA","1,319€","€","1,249€"
"Burgos","BEROIL","CALLE ALCALDE MARTIN COBOS, 19, BURGOS","1,329€","€","1,259€"
"Burgos","BEROIL","POLIGONO POLIGONO INDUSTRIAL PARCELA 9A, 9, SANTECILLA","1,309€","€","1,219€"
"Burgos","BEROIL","AVENIDA PORTUGAL, 82, ARANDA DE DUERO","1,319€","€","1,239€"
"Burgos","BEROIL","CALLE LOPEZ BRAVO, 17, BURGOS","1,319€","€","1,249€"
"Burgos","BEROIL","CARRETERA A 62 KM. 14, BUNIEL","1,329€","€","1,259€"
"Burgos","BEROIL","CARRETERA N122 KM286 KM. 286, FUENTECEN","1,319€","€","1,239€"
"Burgos","BEROIL","CARRETERA MADRID IRUN KM. 243, VILLAGONZALO PEDERNALES","1,309€","€","1,239€"
"Burgos","BEROIL","POLIGONO P. INDUSTRIAL BAYAS 146 PARCELAS 58, 146, MIRANDA DE EBRO","1,309€","€","1,219€"
"Burgos","BEROIL","CARRETERA NACIONAL I KM. 160,3, ARANDA DE DUERO","1,299€","€","1,219€"
"Burgos","BEROIL","CARRETERA NACIONAL 620 KM. 20, ESTEPAR","1,319€","€","1,249€"
"Burgos","AVIA VISTA ALEGRE","CTRA. N-623, KM,2 (CC MIRADOR), BURGOS","1,238€","1,338€","1,128€"
"Burgos","AVIA VISTA ALEGRE","CARRETERA CARRETERA DE SANTANDER KM. 2, BURGOS","1,348€","1,458€","1,288€"
"Burgos","AVIA VIA NORTE","CARRETERA NACIONAL 1 MADRID IRUN KM. 318, MIRANDA DE EBRO","1,339€","1,469€","1,279€"
"Burgos","AVIA","AUTOVIA A-62 KM. 34, VILLAZOPEQUE","1,360€","1,470€","1,280€"
"Burgos","AVIA","CALLE BEMPOSTA R-97, 97, ARANDA DE DUERO","1,319€","1,439€","1,239€"
"Burgos","AVIA","CTRA.N-623,BURGOS-SANTANDER km 83, CILLERUELO DE BEZANA","1,289€","1,373€","1,198€"
"Burgos","AVIA","CARRETERA BU526 KM. 22, VALLEJO","1,289€","€","1,198€"
"Burgos","AVIA","CTRA. LOGROÑO SANTANDER km 508, OÑA","1,309€","€","1,209€"
"Burgos","AVIA","C-629 (POLÍGONO LAS MERINDADES) km 62KMS, VILLARCAYO","1,269€","€","1,199€"
"Burgos","AVIA","POLIGONO NAVAS, 1, MEDINA DE POMAR","1,319€","€","1,229€"
"Burgos","AVIA","CARRETERA MIRANDA DE EBRO KM. 38, TREVIÑO","1,319€","€","1,229€"
"Burgos","AVIA","CALLE PARAMO, 15, VILLAYUDA O LA VENTILLA","1,259€","€","1,149€"
"Burgos","AN ENERGETICOS VENTAS DE ARMENTIA","POLIGONO POLIGONO 517 PARCELA 19, S/N, ARMENTIA","1,300€","€","1,250€"
"Burgos","ALCAMPO","CARRETERA LA AGUILERA KM. 0, ARANDA DE DUERO","1,276€","1,392€","1,209€"
"Burgos","A.S. LA ESTACION DE ESPINOSA","CALLE ESTACION, S/N, ESPINOSA DE LOS MONTEROS","1,329€","1,459€","1,249€"
"Cáceres","VALCARCE","AUTOVIA RUTA DE LA PLATA A-66 KM. 576,000, ALDEA DEL CANO","1,385€","€","1,339€"
"Cáceres","SHELL","CTRA.MEDELLIN km 2, CACERES","1,356€","1,458€","1,289€"
"Cáceres","SHELL","CALLE HERRADORES, 2, MIAJADAS","1,339€","€","1,269€"
"Cáceres","SHELL","CALLE BELGICA ESQUINA TRAVESÍA ADELARDO LOPEZ AYER, S/N, PLASENCIA","1,329€","€","1,279€"
"Cáceres","SETTRAN","CARRETERA N-630 KM. 475,5, PLASENCIA","€","€","1,289€"
"Cáceres","SETTRAN","CARRETERA EX 108 KM. 87,2, CORIA","€","€","1,289€"
"Cáceres","SETTRAN","CARRETERA N-630 KM. 558, CACERES","€","€","1,289€"
"Cáceres","SETTRAN","CARRETERA ANTIGUA N-V, KM 179 KM. 179, NAVALMORAL DE LA MATA","€","€","1,289€"
"Cáceres","SDAD COOP SAN LUCAS DEL TORNO","CARRETERA EL TORNO - CABEZABELLOSA KM. 0,800, TORNO (EL)","€","€","1,205€"
"Cáceres","SARAS","CARRETERA N-521 KM. 77, ALISEDA","1,359€","1,469€","1,289€"
"Cáceres","SARAS","AUTOVIA AUTOVIA DEL SUROESTE KM. 259, TRUJILLO","1,349€","1,464€","1,289€"
"Cáceres","SARAS","CARRETERA EX-108 KM. 86,9, CORIA","1,339€","€","1,289€"
"Cáceres","REPSOL","AVENIDA MIAJADAS, S/N, TRUJILLO","1,359€","€","1,309€"
"Cáceres","REPSOL","AVENIDA GARCIA DE TAFALLA, 1, CAMINOMORISCO","1,319€","€","1,279€"
"Cáceres","REPSOL","AUTOVIA AUTOVIA KM. 174, PERALEDA DE LA MATA","1,399€","€","1,349€"
"Cáceres","REPSOL","POLIGONO EL RUEDO (CAMINO GENERAL km KM 14), TIETAR","1,339€","€","1,289€"
"Cáceres","REPSOL","AVENIDA MADRID, 50, TRUJILLO","1,349€","1,469€","1,319€"
"Cáceres","REPSOL","CR A-66 , P.K. 494, MALPARTIDA DE PLASENCIA","1,369€","1,489€","1,319€"
"Cáceres","REPSOL","CALLE GIL CORDERO, S,N, CACERES","1,359€","1,499€","1,319€"
"Cáceres","REPSOL","AV MARTIN PALOMINO, S.N., PLASENCIA","1,349€","1,449€","1,299€"
"Cáceres","REPSOL","CR C-213, 10,5, CECLAVIN","1,319€","€","1,289€"
"Cáceres","REPSOL","CR N-521, 45, CACERES","1,339€","1,479€","1,299€"
"Cáceres","REPSOL","AUTOVIA EX-A1 KM. 16, MAJADAS","1,379€","€","1,289€"
"Cáceres","REPSOL","CALLE PUENTE PABLILLA, S/N, S/N, MADRIGALEJO","1,319€","€","1,279€"
"Cáceres","REPSOL","CARRETERA N-521 KM. 54,5, MALPARTIDA DE CACERES","1,339€","€","1,289€"
"Cáceres","REPSOL","CARRETERA CC 054 KM. 2,300, NAVALMORAL DE LA MATA","1,389€","1,519€","1,349€"
"Cáceres","REPSOL","CARRETERA MADRID-LISBOA KM. 180,800, NAVALMORAL DE LA MATA","1,349€","1,449€","1,309€"
"Cáceres","REPSOL","CL AVENIDA CONSTITUCION, S.N., JARAIZ DE LA VERA","1,399€","1,560€","1,319€"
"Cáceres","REPSOL","CARRETERA N-630 KM.542.600 KM. , CASAR DE CACERES","1,349€","€","1,299€"
"Cáceres","REPSOL","AUTOVIA A-66 KM. 564, VALDESALOR","1,369€","1,499€","1,319€"
"Cáceres","REPSOL","CARRETERA PLASENCIA KM. 26,300, MONTEHERMOSO","1,369€","1,489€","1,319€"
"Cáceres","REPSOL","CR N-630, 590,5, ALCUESCAR","1,369€","1,499€","1,319€"
"Cáceres","REPSOL","CR N-630, 435,8, ALDEANUEVA DEL CAMINO","1,379€","1,499€","1,329€"
"Cáceres","REPSOL","AUTOVIA A-5 KM. 200, ALMARAZ","1,389€","1,529€","1,349€"
"Cáceres","REPSOL","CR N-521, 93,1, VALENCIA DE ALCANTARA","1,369€","1,519€","1,309€"
"Cáceres","REPSOL","CARRETERA EX-1118 KM. 1, GUADALUPE","1,379€","1,489€","1,299€"
"Cáceres","REPSOL","AVENIDA DE LA CONSTITUCIÓN, S/N, MALPARTIDA DE PLASENCIA","1,339€","€","1,289€"
"Cáceres","REPSOL","CARRETERA N-630 KM. 490, PLASENCIA","1,369€","€","1,319€"
"Cáceres","REPSOL","CARRETERA CR C-401, KM. 225, ZORITA","1,397€","€","1,358€"
"Cáceres","REPSOL","CARRETERA C-526 KM. 46,1, MORALEJA","1,319€","€","1,289€"
"Cáceres","REPSOL","CARRETERA N-110 KM. 370,800, CABEZUELA DEL VALLE","1,329€","€","1,289€"
"Cáceres","REPSOL","AVENIDA DE LAS TERMAS, 48, BAÑOS","1,319€","€","1,279€"
"Cáceres","REPSOL","CARRETERA N-110 KM. 382,400, VALDASTILLAS","1,329€","€","1,289€"
"Cáceres","REPSOL","CR N-630, 548,9, CACERES","1,339€","1,479€","1,289€"
"Cáceres","REPSOL","AUTOVIA CR N-5, 268 KM. 268, SANTA CRUZ DE LA SIERRA","1,369€","€","1,319€"
"Cáceres","REPSOL","CALLE MARTINEZ CAMARGO, 18, TALAYUELA","1,339€","€","1,289€"
"Cáceres","REPSOL","CARRETERA N-110 KM. 403,200, PLASENCIA","1,349€","1,449€","1,299€"
"Cáceres","REPSOL","CALLE CARRETERA DE MONTEHERMOSO, 1, CORIA","1,339€","€","1,289€"
"Cáceres","REPSOL","CARRETERA EX-102 KM. 45,500, LOGROSAN","1,409€","1,528€","1,300€"
"Cáceres","REPSOL","AVENIDA ESPAÑA, 44, PLASENCIA","1,369€","1,459€","1,309€"
"Cáceres","REPSOL","CARRETERA COMARCAL 512 KM. 23,6, POZUELO DE ZARZON","1,319€","€","1,269€"
"Cáceres","REPSOL","AV. ALEMANIA- POL IND FRATRES PARC. 40, CACERES","1,339€","1,479€","1,289€"
"Cáceres","REPSOL","AUTOVIA MADRID -PORTUGAL KM. 219, DELEITOSA","1,399€","1,527€","1,342€"
"Cáceres","REPSOL","CR C-501, 22 (C-501 km 22,1), TEJEDA DE TIETAR","1,339€","€","1,269€"
"Cáceres","REPSOL","CARRETERA CACERES-MIAJADAS CC-520 KM. 34,770, TORRE DE SANTA MARIA","1,339€","1,479€","1,269€"
"Cáceres","REPSOL","CR A-5 P.K. 240,00 I, TRUJILLO","1,379€","1,479€","1,329€"
"Cáceres","REPSOL","CARRETERA EX-118 KM. 179, NAVALMORAL DE LA MATA","1,339€","1,439€","1,299€"
"Cáceres","REPSOL","CR C-904, 19,8, CUACOS DE YUSTE","1,339€","€","1,289€"
"Cáceres","REPSOL","CARRETERA EX-203 KM. 74,000, VILLANUEVA DE LA VERA","1,339€","1,479€","1,289€"
"Cáceres","REPSOL","CARRETERA N-5 KM. 290,8, MIAJADAS","1,319€","1,459€","1,289€"
"Cáceres","REPSOL","CR C-526, 29,2, CORIA","1,339€","1,439€","1,289€"
"Cáceres","REPSOL","CARRETERA A66 KM. 528, SANTIAGO DEL CAMPO","1,369€","1,489€","1,319€"
"Cáceres","REPSOL","AUTOVIA A-66 KM 539 KM. 539, CASAR DE CACERES","1,378€","1,498€","1,328€"
"Cáceres","POCITO","CR EX-203, 12,8, JARAIZ DE LA VERA","1,319€","€","1,229€"
"Cáceres","PETRONOR","AVENIDA JUAN CARLOS RODRIGUEZ IBARRA, 15, MONTANCHEZ","1,339€","€","1,269€"
"Cáceres","PETROGOLD","PLAZA JUAN RAMON JIMENEZ, S/N, CACERES","1,319€","€","1,239€"
"Cáceres","PETROCAR","CARRETERA MIAJADAS KM. 1,750, CACERES","1,319€","€","1,239€"
"Cáceres","MEROIL","CARRETERA EX205 KM. 16,800, VALVERDE DEL FRESNO","1,339€","€","1,259€"
"Cáceres","MARCOS GARRIDO","CARRETERA EX-370 KM. 15,400, VALDEOBISPO","1,379€","€","1,309€"
"Cáceres","MAGNA OIL","CALLE MONFRAGUE ESQUINA C\ GREDOS, S/N, CACERES","1,339€","€","1,239€"
"Cáceres","LA PISTA S.L.","CR N-630, 509,3, CAÑAVERAL","1,369€","€","1,319€"
"Cáceres","IBERDOEX RIOSALOR","CARRETERA EX100 KM. 8, CACERES","1,339€","€","1,259€"
"Cáceres","IBERDOEX CHIPI","CARRETERA C-713 KM. 4,5, GUADALUPE","1,369€","€","1,289€"
"Cáceres","IBERDOEX CAPELLANIAS","POLIGONO CAPELLANIAS, 329, CACERES","1,339€","€","1,239€"
"Cáceres","IBERDOEX","CTRA. MORALEJA-CILLEROS km 12.1, CILLEROS","1,329€","€","1,229€"
"Cáceres","IBERDOEX","CR JARANDILLA km 56, NAVALMORAL DE LA MATA","1,329€","€","1,289€"
"Cáceres","IBERDOEX","EX208 km 91,87, MADROÑERA","1,349€","1,469€","1,289€"
"Cáceres","IBERDOEX","EX-206 km 16, TORREORGAZ","1,349€","€","1,265€"
"Cáceres","IBERDOEX","CARRETERA COMARCAL 526 KM. 59, PERALES DEL PUERTO","1,319€","1,449€","1,219€"
"Cáceres","IBERDOEX","CALLE NTRA SRA DE LA BREÑA, 0,4, DELEITOSA","1,349€","€","1,299€"
"Cáceres","IBERDOEX","NACIONAL V km 58,8, MALPARTIDA DE CACERES","1,334€","€","1,274€"
"Cáceres","IBERDOEX","C-522 km 94,37, GARROVILLAS DE ALCONETAR","1,379€","€","1,289€"
"Cáceres","IBERDOEX","AVENIDA DE MERIDA, 9, ALCANTARA","1,350€","€","1,271€"
"Cáceres","GRUPO CRIADO","AVENIDA PUREZA CANELO, S/N, MORALEJA","1,279€","€","1,179€"
"Cáceres","GASOLINERA LOS IBORES","EX_118 NAVALMORAL-GUADALUPE km 51,32, BOHONAL DE IBOR","1,329€","1,429€","1,289€"
"Cáceres","GALP","CARRETERA EX-102 KM. 12200, CAMPO LUGAR","1,349€","€","1,289€"
"Cáceres","GALP","AUTOVIA CTRA A-5, KM 171 - POL. PUERTA DE EXTREMADURA PARC 80-81-82 KM. 171, PERALEDA DE LA MATA","1,399€","1,509€","1,339€"
"Cáceres","GALP","CARRETERA NACIONAL 521 KM. 38,130, CACERES","1,339€","1,479€","1,289€"
"Cáceres","GALP","CARRETERA EX 206 KM. 3,900, CACERES","1,339€","1,489€","1,289€"
"Cáceres","GALP","CARRETERA EX-108 KM. 95,600, CASAS DE DON GOMEZ","1,339€","€","1,289€"
"Cáceres","GALP","CARRETERA GUADALUPE EX-118 KM. 60,150, PERALEDA DE LA MATA","1,359€","€","1,289€"
"Cáceres","FYDEMSA","CARRETERA JARANDILLA KM. 1,00, NAVALMORAL DE LA MATA","1,309€","€","1,237€"
"Cáceres","ESTACION SERVICIO NTRA SRA DE LA BLANCA","CARRETERA PASARON ARROYOMOLINOS DE LA VERA KM. 1,5, PASARON DE LA VERA","1,299€","€","1,239€"
"Cáceres","ESTACION DE SERVICIO CASTAÑAR","CARRETERA km 28, CASTAÑAR DE IBOR","1,359€","€","1,299€"
"Cáceres","ES SALORINO","CARRETERA N-521 KM. 107,50, SALORINO","1,349€","€","1,279€"
"Cáceres","E.S. VEGAS DE CORIA","CARRETERA EX-204 KM. 62, VEGAS DE CORIA","1,349€","1,469€","1,279€"
"Cáceres","E.S. LOSAR","CARRETERA COMARCAL 501 KM. 58,200, LOSAR DE LA VERA","1,349€","€","1,289€"
"Cáceres","DST BELVIS","CARRETERA NACIONAL V KM. 190, BELVIS DE MONROY","1,349€","€","1,289€"
"Cáceres","COPRECA","CARRETERA ANTIGUA NACIONAL V KM. 250, TRUJILLO","1,299€","€","1,239€"
"Cáceres","COOPRADO","CARRETERA CIRCUNVALACION KM. S/N, CASAR DE CACERES","1,309€","€","1,239€"
"Cáceres","COOP. SAN JOSE","PASEO LA FERIA, S/N, PIORNAL","1,256€","€","1,217€"
"Cáceres","COOP. SAN ISIDRO","AVENIDA AVDA CIUDAD DE PLASENCIA, S/N, MALPARTIDA DE PLASENCIA","1,319€","€","1,259€"
"Cáceres","CEPSA","EX-109 km 19, TORREJONCILLO","1,199€","1,314€","1,104€"
"Cáceres","CEPSA","AVENIDA SALAMANCA, S/N, PLASENCIA","1,369€","1,484€","1,309€"
"Cáceres","CEPSA","CARRETERA CACERES KM. 33,400, BROZAS","1,369€","€","1,325€"
"Cáceres","CEPSA","A-5 km 245,2, TRUJILLO","1,379€","1,494€","1,319€"
"Cáceres","CEPSA","CARRETERA ANTIGUA N-V KM. 252, TRUJILLO","1,379€","1,494€","1,315€"
"Cáceres","CEPSA","CARRETERA EX-392 KM. 16, JARAIZ DE LA VERA","1,359€","€","1,309€"
"Cáceres","CEPSA","CARRETERA EX-108 KM. 65,500, GALISTEO","1,359€","1,484€","1,309€"
"Cáceres","CEPSA","CARRETERA EX-208 KM. 40, TORREJON EL RUBIO","1,369€","€","1,309€"
"Cáceres","CEPSA","CALLE SOLEDAD VEGA Y ORTIZ S/N (EX-203 km 47,8), JARANDILLA DE LA VERA","1,346€","1,459€","1,289€"
"Cáceres","CEPSA","CARRETERA CC 370 KM. 23, MONTEHERMOSO","1,359€","1,474€","1,309€"
"Cáceres","CEPSA","CC-L km 8, TORRECILLAS DE LA TIESA","1,379€","€","1,325€"
"Cáceres","CEPSA","CARRETERA CIUDAD RODRIGO KM. 19, TORREJONCILLO","1,359€","1,474€","1,289€"
"Cáceres","CEPSA","CARRETERA CIUDAD RODRIGO KM. , TORREJONCILLO","1,215€","1,330€","1,129€"
"Cáceres","CEPSA","AUTOVIA A-5 KM. 244,6, TRUJILLO","1,379€","1,494€","1,319€"
"Cáceres","CEPSA","CARRETERA EX-106 KM. 1,4, MIAJADAS","€","€","1,299€"
"Cáceres","CEPSA","CARRETERA CACERES- CASAR DE CACERES KM. 8,3, CASAR DE CACERES","1,359€","1,474€","1,289€"
"Cáceres","CEPSA","CARRETERA N-630 KM. 436,4, ALDEANUEVA DEL CAMINO","1,369€","1,484€","1,325€"
"Cáceres","CEPSA","CARRETERA EX-108 KM. 111,7, MORALEJA","1,319€","1,434€","1,179€"
"Cáceres","CEPSA","AUTOVIA A-V KM. 193,800, ALMARAZ","1,388€","1,508€","1,348€"
"Cáceres","CEPSA","CARRETERA EX-207 KM. 5,6, ARROYO DE LA LUZ","1,360€","1,447€","1,323€"
"Cáceres","CEPSA","N-630 km 556,5, CACERES","1,359€","1,474€","1,289€"
"Cáceres","CARREFOUR","CARRETERA CTRA. VALENCIA- ALCÁNTARA, KM. S/N, CACERES","1,349€","€","1,279€"
"Cáceres","CARREFOUR","CALLE C/ JULIAN BESTEIRO S/N, S/N, PLASENCIA","1,359€","1,449€","1,319€"
"Cáceres","CARBURANTES CAMPO ARAÑUELO S.L.","CARRETERA JARANDILLA KM. 8200, NAVALMORAL DE LA MATA","1,299€","€","1,227€"
