"Provincia","Nombre","Dirección","Gasolina 95","Gasolina 98","Gasoleo A"
"Álava","CEPSA","CALLE DUSSELDORF, 1, VITORIA-GASTEIZ","1,349€","1,464€","1,289€"
"Álava","CEPSA","AVENIDA MEDITERRANEO, 7, VITORIA-GASTEIZ","1,371€","1,486€","1,311€"
"Álava","CEPSA","N-IA km 385,1, ILARDUIA","1,309€","€","1,259€"
"Álava","CEPSA","CARRETERA A-624 KM. 37,8, LEZAMA","1,349€","1,464€","1,289€"
"Álava","CEPSA","N-622 km 20,3, MURGIA","1,379€","1,494€","1,299€"
"Álava","CEPSA","POLIGONO P.I. JUNDIZ - C/ LERMANDABIDE, 8, VITORIA-GASTEIZ","1,269€","€","1,179€"
"Álava","BP VITORIA","CALLE DEBA, 1, VITORIA-GASTEIZ","1,369€","1,519€","1,299€"
"Álava","AVIA","AVENIDA DE GARAY, 23 (CARRETERA DE VITORIA A BALMASE km 56), ARTZINIEGA","1,339€","1,439€","1,269€"
"Álava","AVIA","ALIBARRA, 34, VITORIA-GASTEIZ","1,359€","1,468€","1,289€"
"Álava","AVIA","AUTOVIA N-1 km 358, ZURBANO","1,369€","1,469€","1,319€"
"Álava","AVIA","CALLE URARTEA, 23, VITORIA-GASTEIZ","1,369€","1,469€","1,319€"
"Álava","AVIA","CARRETERA A-2122 KM. 11, PUENTELARRÁ/LARRAZUBI","1,270€","€","1,180€"
"Álava","AVIA","AUTOVIA VITORIA-ATUBE KM. 6, ARANGUIZ","1,369€","1,469€","1,319€"
"Álava","ARMENTIA","CALLE ALTO DE ARMENTIA, 10, VITORIA-GASTEIZ","1,289€","€","1,229€"
"Álava","ANDAMUR ""SAN ROMAN""","POLIGONO OKITURRI, S/N, DURRUMA/SAN ROMAN DE SAN","1,371€","1,501€","1,309€"
"Álava","ALAVESA","CALLE FUEROS S/N, SN, SALVATIERRA O AGURAIN","1,249€","€","1,189€"
"Álava","ADS","CALLE DEIDA, 6, ARAIA","€","€","1,266€"
"Álava","(SIN RÓTULO)","CARRETERA A-132 VITORIA-ESTELLA KM. 23, MAEZTU/MAESTU","1,320€","1,395€","1,215€"
